Mês,Chave (plan x Jira),Projeto,GP Responsável,Coordenação,Segmento,Tipo,Nuvem,Meses de Contrato,Previsão,Horas Mês,Previsão_temp,Real,Saldo Acumulado,Status,Atraso em dias ,NPS ,Financeiro,Changes,Observacoes,Decisões,Mês_datetime,MesAnoFormatado,Ano_Mes,Prioridade,NPS_Combinado,Horas Previstas (Contrato),Cliente
abr.-25,PP,Pippi Pneus,Bianca,Matheus F.,Distribuição ,EH,Sales e Maps ,,500.0,0.0,,43.0,457.0,No prazo,0.0,Promotor,Recebendo,,Fluxo definido - iniciar orçamentos (atrasado) | Diretiva,,,abr.-25,,Normal,Promotor 😀,0,Pippi Pneus
abr.-25,TW,Toolsworld,Bianca,Matheus F.,Distribuição ,EF,CG Cloud,,600.0,0.0,,68.0,532.0,No prazo,0.0,Promotor,Recebendo,,Questões comerciais alinhas com Grazi | Iniciar desenvolvimentos | Diretiva,,,abr.-25,,Normal,Promotor 😀,0,Toolsworld
abr.-25,AFX,Alfalux,Bianca,Matheus F.,Distribuição ,EH,Sales,,120.0,0.0,,0.0,120.0,No prazo,0.0,Promotor,Recebendo,,,,,abr.-25,,Normal,Promotor 😀,0,Alfalux
abr.-25,DC,Dana Cosméticos,Bruna,Matheus F.,Indústria,EH,Sales e Partner,11/12,1200.0,100.0,100,1318.0,-118.0,No prazo,0.0,Promotor,Recebendo,200,Fase 1: relatórios e ajustes (16/05) | Iniciar mapeamento da fase 2 ,,,abr.-25,,Normal,Promotor 😀,0,Dana Cosméticos
abr.-25,FEYFV,FEY | Demandas Avulsas,Bruna,Matheus F.,Indústria,DA,Sales,,104.0,0.0,16,88.0,16.0,No prazo,0.0,Promotor,Pendente,,Projeto ecommerce para iniciar ,,,abr.-25,,Normal,Promotor 😀,0,FEY
abr.-25,QP,Quanta Previdência,Bruna,Matheus F.,Serviços,EH,Sales e Service,11/12,800.0,666666.6667,6666666667,773.0,27.0,No prazo,0.0,Neutro,Recebendo,,Sales em produção - em validação pelo time de keyusers | combinar go live oficial | Fase 2: Service - Fazio em negociação (19/05),,,abr.-25,,Normal,Neutro 😐,0,Quanta Previdência
abr.-25,QM,Quanta Previdência | Marketing,Bruna,Matheus F.,Serviços,EH,MKT,,200.0,166666.6667,1666666667,43.0,157.0,No prazo,0.0,Neutro,Recebendo,,Problema no aquecimento | Projeto retomado - alinhamento com o time - novo aquecimento previsto para 20/05,,,abr.-25,,Normal,Neutro 😐,0,Quanta Previdência
abr.-25,TER,Teruya,Bruna,Matheus F.,Distribuição ,EH,Sales,4/12,1000.0,833333.3333,750,304.0,696.0,No prazo,0.0,Promotor,Recebendo,,Preparar orçamentos | Envolvimento da orange door | projeto ecommerce ,,,abr.-25,,Normal,Promotor 😀,0,Teruya
abr.-25,AMA,Amade,Emily,Allysson,Distribuição,EH,Sales,08/10,1000.0,100.0,800,1052.0,-52.0,Atrasado,-5900.0,Promotor,Recebendo,,"Cronograma replanejado e o time deve suportar os próximos passos. Pendências integrações: pedido de venda/itens do pedido, notas fiscais/itens da nota, importação de clientes, endereços e pedidos de penda, simulação de impostos (Pricing). Risco: para rodar a integração de pedidos e simulação de impostos é necessário a configuração do TES Inteligente no Protheus. Aporte de 341h necessário para a conclusão do projeto. Reunião diretiva deve acontecer na próxima semana para apresentar os desenvolvimentos fora do escopo e negociar as horas de aporte. Gestão de Projetos deve ter atenção no andamento do projeto e atualização para a gestora interna Amade.",Crítico,,abr.-25,,Crítico,Promotor 😀,0,Amade
abr.-25,BAS,Briganti Advogados | Sustentação,Emily,Allysson,Serviços,S Sales,Sales,03/12,240.0,20.0,60,47.0,193.0,Sustentação,0.0,Promotor,Recebendo,,"Apresentado campanhas e forecast no ambiente Briganti. Temos desenvolvimentos aguardando aprovação. Nas próximas semanas deveremos organizar o deploy do antigo projeto de implementação já finalizado e os deploys do que foi construido na sustentação. Ponto de atenção: Matheus está de férias e retorna apenas 26/05, teremos de alocar um recurso para cuidar dos chamado nos próximos dias.",,,abr.-25,,Normal,Promotor 😀,0,Briganti Advogados
abr.-25,GPS,Green Place | Sustentação ,Emily,Allysson,Distribuição,S Sales,Sales,05/12,720.0,60.0,368,224.0,496.0,Sustentação,0.0,Promotor,Recebendo,,"GP Bio está em homologação com o Peron, temos alguns chamados em desenvolvimento e outros aguardando aprovação. O Peron ainda não conheceu a nova gestora de projetos mas está ciente da mudança.",,,abr.-25,,Normal,Promotor 😀,0,Green Place
abr.-25,ACOS,Aços Continente,Emily,Allysson,Distribuição,EH,Sales,02/08,675.0,0.0844,1688,152.0,523.0,No prazo,0.0,Promotor,Recebendo,,"Cronograma de atividades deve ser estabelecido e apresentado em 19/05 para o time Aços Continete, reunião diretiva deve ser agendada. Time comercial Codeart foi acionado para entendimento das horas orçadas para a integração, visto no escopo termos um total de 300h para a integração (comercialmente) e na negociação foi apontado como 180h para a integração.",,,abr.-25,,Normal,Promotor 😀,0,Aços Continente
abr.-25,SUP,Suprimed,Emily,Allysson,Distribuição,EF,Sales,28/07,1099.0,0.0916,1099,1590.0,86.0,Atrasado,0.0,Neutro,Recebendo,,"Cronograma deverá ser replanejado, Bionexo em finalização, Alexandre Dekker deve essa semana liberar estruturação de oportunidades, Suprimed deve atualizar os status das integrações receptivas e time Codeart deve apoiar. ",Crítico,,abr.-25,,Crítico,Neutro 😐,0,Suprimed
abr.-25,ELE,Elettromec,Emily,Allysson,Distribuição,EH,Sales,08/06,1000.0,160.0,1000,704.0,296.0,Atrasado,-300.0,Neutro,Recebendo,,"Treinamentos ocorrendo 12 e 13, Go Live dia 15 presencialmente. Conseguimos retomar com o relacionamento com cliente e atualmente está satisfeito com nossas entregas e comunicação novamente. Analisar aporte caso necessário.",Crítico,,abr.-25,,Crítico,Neutro 😐,0,Elettromec
abr.-25,HYT,Hytorc,Emily,Allysson,Indústria,EF,Sales,12/12,360.0,30.0,360,1023.0,-663.0,Atrasado,4800.0,Neutro,Recebendo,,"Atividades do N1 e N2 sendo finalizadas. Integrações: Elev: Pedidos e itens do pedido, Notas fiscais e itens da nota. Codeart: Impostos, Contas e Títulos Financeiros. Carga de ativos em andamento.",Crítico,,abr.-25,,Crítico,Neutro 😐,0,Hytorc
abr.-25,REX,Rexon,Emily,Allysson,Indústria,EH,Sales,06/07,885.0,124.0,744,751.0,134.0,Atrasado,-5600.0,Neutro,Pendente,,"MVP1 Brasil: GoTo resolvido, time providenciando IT para orientações. Integração de Contas: Time Comercial da Rexon deve realizar teste, até o momento finalizado. MVP1 México: Time Codeart deve atuar nos ajustes e iniciar a integração de contas do méxico com prioridade. MVP2: Cronograma foi replanejado mas o MVP1 impactou no andamento, time deverá atuar no MVP2 após a finalização do MVP1, exceto pelo Digital Engagement que poderá ser mapeado em paralelo ao MVP1.",Crítico,,abr.-25,,Crítico,Neutro 😐,0,Rexon
abr.-25,RM,Rexon MKT,Emily,Allysson,Indústria,EH,Marketing,02/03,337.0,112.0,224,33.0,304.0,No prazo,0.0,Neutro,Pendente,,Jornada de aquecimento de IP está rodando e o Arthur tem enviado report. As jornadas dependem da da configuração do Short Code (em fase de configuração com suporte do Arthur) e do Digital Engagement (mapeamento deve iniciar nas próximas semanas). Templates de jornadas criados e as estruturas podem iniciar a execução na próxima semana. Na próxima semana mapear jornada de boas vindas.,Crítico,,abr.-25,,Crítico,Neutro 😐,0,Rexon MKT
abr.-25,SOP,Sopasta,Emily,Allysson,Indústria,EF,Sales,08/10,720.0,72.0,576,503.0,217.0,Atrasado,18100.0,Neutro,Quitado,,"Cronograma replanejado com MVP1 e MVP2, time comercial atuando na negociação das 400 horas.",Crítico,,abr.-25,,Crítico,Neutro 😐,0,Sopasta
abr.-25,TES,TR EPI,Emily,Allysson,Distribuição,S Sales,Sales,03/06,30.0,10.0,30,52.0,-22.0,Sustentação,0.0,Promotor,Recebendo,,Será necessário emissão de um boleto ao final do trimestre.,,,abr.-25,,Normal,Promotor 😀,0,TR EPI
abr.-25,UNIS,Univali | Sustentação,Emily,Allysson,Serviços,S MKT,MKT,07/12,240.0,20.0,140,117.0,123.0,Sustentação,0.0,Promotor,Recebendo,,Demandas de Service estão sendo atendidas pela sustentação.,,,abr.-25,,Normal,Promotor 😀,0,Univali
abr.-25,ALUTAL,Alutal,Renata,Matheus F.,Indústria,EF,Sales,04/06,340.0,566666.6667,171,120.0,220.0,No prazo,-11300.0,Neutro,Recebendo,,,,,abr.-25,,Normal,Neutro 😐,0,Alutal
abr.-25,ICROP,Icrop,Renata,Matheus F.,Tech,EF,Sales,05/06,625.0,105.0,525,514.0,111.0,No prazo,-6600.0,Detrator,Recebendo,,,,,abr.-25,,Normal,Detrator 😡,0,Icrop
abr.-25,COMLTI,Comolatti,Renata,Matheus F.,Produtos e Serviços,EF,Sales,01/06,812.0,102.0,102,52.0,760.0,No prazo,0.0,Neutro,Recebendo,,,,,abr.-25,,Normal,Neutro 😐,0,Comolatti
abr.-25,DUB,Dubai,Yara,Matheus F.,Serviços,EH,Sales / Service / Digital / MKT / Partner  / Field,8,1500.0,187.0,1122,853.0,647.0,No prazo,0.0,Promotor,Recebendo,,"Finalizando a parte de Leads, realizando homologações e testes, mas apenas conseguimos fechar após Task da Fila de Corretor que está para o dia 20/05. Temos algumas pendencias ainda de retorno do cliente para finalizar atividades (carga hypnobox).",Seguir validando e homologando todas as partes e realizando ajustes - agendas semanais para não deixar ajustes ao final da execução,,abr.-25,,Normal,Promotor 😀,0,Dubai
abr.-25,HYB,Hybel,Yara,Matheus F.,Indústria,EF,Sales / Digital,6,744.0,124.0,372,136.0,608.0,No prazo,0.0,Promotor,Recebendo,,"Cliente tem licença digital, mas não foi contratado no escopo do contrato com a Code - Tasks de Integração atrasaram 1 semana","Assumir, vamos executar sem cobrar adicional.",,abr.-25,,Normal,Promotor 😀,0,Hybel
abr.-25,FIAS,Fiasul,Yara,Matheus F.,Indústria,EF,Sales e Partner,6,712.0,118.0,354,138.0,574.0,No prazo,0.0,Promotor,Recebendo,,Cliente homologando Leads e Contas - Tasks de Integração atrasaram 1 semana,,,abr.-25,,Normal,Promotor 😀,0,Fiasul
abr.-25,DUXX,DUX | Sustentação,Bianca,Matheus F.,Indústria,S Sales,Sales,,1440.0,0.0,,765.0,675.0,Sustentação,0.0,Promotor,Recebendo,,projeto em andamento,,,abr.-25,,Normal,Promotor 😀,0,DUX
abr.-25,DNS,Dana Cosméticos | Sustentação,Bruna,Matheus F.,Indústria,S Sales,Sales e Partner,2/12,300.0,25.0,275,0.0,300.0,Sustentação,0.0,Promotor,Recebendo,,Entender sobre apontamentos retroativos ,,,abr.-25,,Normal,Promotor 😀,0,Dana Cosméticos
abr.-25,TRUS,Grupo Trust | Sustentação,Bruna,Matheus F.,Serviços,S Sales,Sales,10/12,120.0,10.0,30,189.0,-69.0,Sustentação,0.0,Promotor,Recebendo,,Projeto em andamento (ok) | último trimestre de contrato ,,,abr.-25,,Normal,Promotor 😀,0,Grupo Trust
abr.-25,INS,Incentiv.me | Sustentação,Bruna,Matheus F.,Serviços,S Sales,Sales,2/12,240.0,20.0,220,26.0,214.0,Sustentação,0.0,Promotor,Recebendo,,Projeto em andamento (ok),,,abr.-25,,Normal,Promotor 😀,0,Incentiv.me
abr.-25,PLACS,Plack | Sustentação,Bruna,Matheus F.,Distribuição ,S Sales,Sales e MKT,4/12,432.0,36.0,324,100.0,332.0,Sustentação,0.0,Promotor,Recebendo,,Projeto em andamento (ok),,,abr.-25,,Normal,Promotor 😀,0,Plack
abr.-25,POLS,Politec | Sustentação,Bruna,Matheus F.,Distribuição ,S Sales,Sales,3/12,120.0,10.0,100,46.0,74.0,Sustentação,0.0,Promotor,Recebendo,,Projeto em andamento (ok),,,abr.-25,,Normal,Promotor 😀,0,Politec
abr.-25,ACGSUS,ACG | Sustentação + Digital Engagement,Renata,Matheus F.,Tech,S MKT,MKT,02/02,120.0,60.0,60,90.0,30.0,Sustentação,0.0,Neutro,Recebendo,,(80h Digital Engagement + 40h Sustentação) - Sustentação teremos 5h abatidas da Landing Page desenvolvida em dezembro + 1h30 de treinamento de data extensions (07/03). Iniciamos o mapeamento do Digital Engagement (8h) e das 40h de Sustentação já foram gastas 26h30m,,,abr.-25,,Normal,Neutro 😐,0,ACG
abr.-25,TIM,Timber,Renata,Matheus F.,Produtos e Serviços,S Sales,Sales,06/12,384.0,32.0,192,119.0,265.0,Sustentação,0.0,Neutro,Recebendo,,,,,abr.-25,,Normal,Neutro 😐,0,Timber
abr.-25,ROD,Rodoparaná,Renata,Matheus F.,Produtos e Serviços,S Sales,Sales,13/12,384.0,32.0,384,461.0,-77.0,Sustentação,0.0,Neutro,Quitado,,,,,abr.-25,,Normal,Neutro 😐,0,Rodoparaná
abr.-25,HS,Hyperlocal | Sustentação,Yara,Matheus F.,Tech,S Sales,Sales / Service / Digital / MKT / Partner,12,276.0,23.0,253,145.0,131.0,Sustentação,0.0,Detrator,Recebendo,33 horas reduzidas,Não estão abrindo novos SOS - faltam homologar o que fizemos,"Cliente não deve seguir com Code, então estamos apenas executando o que já existe",,abr.-25,,Normal,Detrator 😡,0,Hyperlocal
abr.-25,GCS,General Corporate | Sustentação,Thaynara,Allysson,Distribuição,S Sales,Sales,12,360.0,40.0,120,65.075,80.0,Sustentação,0.0,Promotor,Recebendo,29075,"> Maps: Enviar vídeo pro Igor - Marcar reunião com o Igor para aprsentação do MAPS
> Módulo de Boletos: Em mapeamento
> GC APP: Em aprovação nas lojas (V2)
> Integração: Revisão da Integração de Estoque
> Compras: ",,,abr.-25,,Normal,Promotor 😀,0,General Corporate
abr.-25,TINS,Tintasul | Sustentação,Thaynara,Allysson,Distribuição,S Sales,Sales,12,240.0,20.0,240,0.0,0.0,Sustentação,0.0,Neutro,Quitado,,"> Encerrar o projeto e horas
> Há chamados que o cliente precisa retornar; 
> Entender sobre renovação do contrato",,,abr.-25,,Normal,Neutro 😐,0,Tintasul
abr.-25,LCS,Lola Cosmetics | Sustentação,Thaynara,Allysson,Indústria,S Sales,Sales,12,120.0,10.0,30,37.0,83.0,Sustentação,0.0,Neutro,Recebendo,,> Marcar reunião para retomada com o Rafael (com Mari e Allysson) para feedback do cliente,,,abr.-25,,Normal,Neutro 😐,0,Lola Cosmetics
abr.-25,ADNSS,Ademir Novo | Sustentação,Thaynara,Allysson,Serviços,S Sales,Sales,12,120.0,10.0,90,110.0,10.0,Sustentação,0.0,Promotor,Recebendo,,"> Allysson está em conversa com o cliente
> Apresentar Thaynara como Gestora do Projeto
> Envolver Vini para Handover do Projeto (Allysson > Vini)",-,,abr.-25,,Normal,Promotor 😀,0,Ademir Novo
abr.-25,WOLS,Wolpac | Sustentação,Thaynara,Allysson,Serviços,S Sales,Sales,12,240.0,20.0,160,133.0,107.0,Sustentação,0.0,Neutro,Recebendo,-,"> Atividades relacionadas a integração
> Sem grandes evoluções de novas demandas",Dez-fev: 22h sem uso no trimestre,,abr.-25,,Normal,Neutro 😐,0,Wolpac
abr.-25,HUMS,Hum Energia| Sustentação,Thaynara,Allysson,Serviços,S Sales,Sales,6,120.0,20.0,120,108.0,12.0,Sustentação,0.0,Neutro,Quitado,-,"> Projeto teve mudança de equipe entre março/abril; de gestão de projetos 2x
> Absorvido 25h do último trimestre
> Cliente alega que houve divergências entre o que foi conversado com Matheus V. e o que foi apresentado pelo Vinicius S. como próximos passos do projeto (Aline disse que o cliente não teve tantas conversas com o Matheus desde janeiro, devido priorização da EG e Pharma)
> Cliente quer novos requisitos (campanhas/ disparo de e-mail)
> Cadu insatisfeito e não está usando o SF neste momento - está usando excel ; > Atendimento de 11h pode resolver a questão com o cliente
> Contrato encerrado (6M); Saldo de horas: ~12h","> Acordado com o cliente que será desenvolvido os objetos necessários para os painéis que eles necessitam
> Envolvimento do Allysson nas prxs agendas
> Fazer entrega do que foi prometido na última gestão do projeto",,abr.-25,,Normal,Neutro 😐,0,Hum Energia
abr.-25,FUJS,Fujitsu | Sustentação,Thaynara,Allysson,Indústria,S Sales,Sales,12,120.0,10.0,40,16.0,104.0,Sustentação,0.0,Neutro,,-,> Marcar reunião para retomada com o Rafael (com Mari e Allysson) para feedback do cliente,,,abr.-25,,Normal,Neutro 😐,0,Fujitsu
abr.-25,DOGS,IBC | Sustentação,Thaynara,Allysson,Serviços,S Service,Service,12,120.0,10.0,30,2.075,9.925,Sustentação,0.0,Neutro,Recebendo,-,"> Cliente solicitou diversos chamados de melhorias para o Site e Salesforce
> Cobrança adicional será sinalizada para aprovação
> Novo Projeto: IBC Internacional (em estimativa)",Saldo de 9h no primeiro trimestre; podemos absorver? Haverá demandas para aprovação que será maior que o consumo do trimestre,,abr.-25,,Normal,Neutro 😐,0,IBC
abr.-25,TINV,Tintasul | Vendas,Thaynara,Allysson,Distribuição,EF,Sales,,0.0,0.0,,0.0,0.0,Atrasado,0.0,Neutro,Quitado,,> Mari fazer handover com Aline para entendimento do status atual do projeto e definir quais atividades são necessárias para encerramento do projto,,,abr.-25,,Normal,Neutro 😐,0,Tintasul
abr.-25,FAN,Fantástico Alimentos,Paola,Allysson,Indústria,EH,Sales,4/8,789.0,0.9862,39448,19.367,59.533,No prazo,0.0,Neutro,Recebendo,,"> Projeto crítico. Cronograma em planejamento: Entrega do projeto apenas a partir de novembro/2025, sendo a expectativa do cliente em setembro/2025. Alta probabilidade de exceder as horas. Necessário agendar Reunião Diretiva.
> Apresentação de Leads, Contas e Contatos agendada para 12/05, para gerentes e o CEO. Precisamos de apoio ao Alex",,,abr.-25,,Normal,Neutro 😐,0,Fantástico Alimentos
abr.-25,EG,Ever Green,Paola,Allysson,Indústria,EH,Sales,17/12,1000.0,833333.3333,1000,121.058,-21058.0,Atrasado,12800.0,Neutro,Quitado,,"> Fase 1: Pendências sinalizadas pelo cliente, alterações e erros durante os testes em execução.  
> Realizaremos um treinamento na próxima semana, com a condução do Oséias, sobre cadastro de tabela de preços, tabela de contratos e configuração de usuários
> Vamos precisar de apoio durante as férias do Edu, principalmente em caso de novas solicitações e para o Go Live",,,abr.-25,,Normal,Neutro 😐,0,Ever Green
abr.-25,BRW,BRW Suprimentos,Paola,Allysson,Indústria,EF,Sales,1/10,1000.0,100.0,100,0.0,1000.0,No prazo,0.0,Promotor,Recebendo,,"> Kickoff do Projeto em 05/05. Primeira agenda em 08/05.
> Pendenten agendamento de reunião com a Nexx para tratar do escopo das integrações. Precisaremos de apoio para que seja realizada o quanto antes.
> Na próxima semana o Oséias conduzirá sozinho o mapeamento, em razão das férias do Edu
> Será necessário replanejar o cronograma apresentado para entrega do projeto em até 6 meses",,,abr.-25,,Normal,Promotor 😀,0,BRW Suprimentos
abr.-25,MS,Agibem,Paola,Allysson,Serviços,EH,Sales,1/4,345.0,0.8625,345,0.0,345.0,No prazo,0.0,Promotor,Pendente,,"> Projeto MS7 que agora é Agibem saiu do freezing em 06/05
> Precisaremos retomar o projeto, com o Alex a frente na condução com o cliente, e pensamos no apoio do Allysson",,,abr.-25,,Normal,Promotor 😀,0,Agibem
abr.-25,RAM,Ramtech | Migração,Paola,Allysson,Distribuição,EH,Sales,1,120.0,120.0,0,9.517,2.483,Atrasado,8400.0,Promotor,Recebendo,,> Aguardando a CLI finalizar os trabalhos. Alto risco de término durante as férias do Edu e precisaremos dar continuidade no processo de migração como prioridade 0. Expectativa do cliente era concluir em fev/2025. ,,,abr.-25,,Normal,Promotor 😀,0,Ramtech
abr.-25,FAR,Farmabase,Paola,Allysson,Serviços,EH,Sales,5/6,840.0,120.0,600,55.233,28.767,No prazo,0.0,Neutro,Recebendo,120,"> Change: Oportunidades por diferentes unidades de negócio (México e Argentina) - 120 horas
> Cronograma replanejado e apresentado ao cliente. MVP1: 26/05 e MVP2: 18/08
> Estamos absorvendo as horas utilizadas nos ajustes do Componente da Oportunidade, considerando que já consumimos cerca de 65% das horas previstas para o projeto, com alta probabilidade de ultrapassarmos esse total. Além disso, foram orçadas 120h para o desenvolvimento do componente na proposta, enquanto a estimativa do time de desenvolvimento era de 150h (que já foi ultrapassado).
> Planejamento nas férias do Edu: cancelamento das agendas e Leo executar as tasks detalhadas",,,abr.-25,,Normal,Neutro 😐,0,Farmabase
abr.-25,AUTOM,Automa,Paola,Allysson,Tech,DA,Sales,-,216.0,0.0,216,27.458,-5858.0,No prazo,0.0,Promotor,Quitado,,"> Operações Europa - Orçado 60h Realizado 76,08h
   > Melhorias Operações Europa aguardando aprovação (10 horas)
> Importação de Medições - Orçado 112h e Realizado 122,52h
   > Melhorias Importação de Medições: Orçado 44h e Realizado 9,75 (Em andamento)
> Administrativo - Realizado 62,25",,,abr.-25,,Normal,Promotor 😀,0,Automa
abr.-25,SECP,Sec Power,Paola,Allysson,Indústria,EH,Sales,2/24,1000.0,42.0,84,545.0,9.455,No prazo,0.0,Promotor,Recebendo,,"> Novos stakeholders: Thafarel (Diretor de Operações/ GP do Projeto), Fábio (Gestor) e Diego Gonçalves (Diretor Comercial). Saída da Lorena, Fernando e Isa",,,abr.-25,,Normal,Promotor 😀,0,Sec Power
abr.-25,CC,Cless,Paola,Allysson,Indústria,EH,Sales,1/12,1920.0,160.0,1920,75.0,19.125,No prazo,0.0,Promotor,Recebendo,,"> Renovação do contrato em abril/2025
> Novo stakeholder/ GP: Alessandra",,,abr.-25,,Normal,Promotor 😀,0,Cless
abr.-25,AUTS,Aut-Comp,Paola,Allysson,Indústria,S Sales,Sales,6/6,60.0,10.0,30,205.0,95.0,Sustentação,0.0,Promotor,Quitado,,> Contrato encerrado em abril/2025. Aguardando renovação. Grazi e Fazio em contato com cliente,,,abr.-25,,Normal,Promotor 😀,0,Aut-Comp
abr.-25,BSS,Bela Sementes,Paola,Allysson,Agro,S Sales,Sales,10/12,720.0,60.0,19233,635.0,18.598,Sustentação,0.0,Promotor,Recebendo,,,,,abr.-25,,Normal,Promotor 😀,0,Bela Sementes
abr.-25,JRDS,JR Dias,Paola,Allysson,Distribuição,S Sales,S Sales,10/12,240.0,20.0,60,5.0,595.0,Sustentação,0.0,Promotor,Recebendo,,,,,abr.-25,,Normal,Promotor 😀,0,JR Dias
abr.-25,JRDS,JR Dias,Paola,Allysson,Distribuição,EH,S Sales,-,200.0,0.0,200,3.508,16.492,No prazo,0.0,Promotor,Recebendo,,> Plano de expansão contratado em 27/03: 200 horas,,,abr.-25,,Normal,Promotor 😀,0,JR Dias
abr.-25,MAC,Macrotec,Paola,Allysson,Distribuição,S Sales,Sales,11/12,360.0,30.0,90,2.825,6.175,Sustentação,0.0,Promotor,Recebendo,,,,,abr.-25,,Normal,Promotor 😀,0,Macrotec
abr.-25,RAM,Ramtech,Paola,Allysson,Distribuição,S Sales,Sales,4/12,120.0,15.0,45,0.0,45.0,Sustentação,0.0,Promotor,Recebendo,,"> Baixo volume de demandas, pois aguarda conclusão do projeto de Migração",,,abr.-25,,Normal,Promotor 😀,0,Ramtech
abr.-25,DSP,Desenvolve SP,Francieli,Dekker,Público,EH,"Sales, Mkt e Service",03/07,2400.0,342857.1429,8571428571,55.257,184.743,No prazo,0.0,Promotor,Recebendo,,,,,abr.-25,,Normal,Promotor 😀,0,Desenvolve SP
abr.-25,GCM,GC | Módulo de Compras,Mariana,Dekker,Distribuição,EF,Sales,,0.0,0.0,,0.0,0.0,Atrasado,0.0,Promotor,Quitado,,,,,abr.-25,,Normal,Promotor 😀,0,GC
abr.-25,GCAL,GC | Aplicativo,Mariana,Alex,Distribuição,EF,Aplicativo e Sales,,0.0,0.0,,0.0,0.0,Atrasado,0.0,Promotor,Quitado,,,,,abr.-25,,Normal,Promotor 😀,0,GC
mai.-25,RAM,Ramtech,Paola,Allysson,Distribuição,S Sales,Sales,4/12,120.0,15.0,45,0.0,45.0,Sustentação,0.0,Promotor,Recebendo,,"> Baixo volume de demandas, pois aguarda conclusão do projeto de Migração",,,mai.-25,,Normal,Promotor 😀,0,Ramtech
